Company,TypeName,Inches,Ram,Weight,Price,Touchscreen,IPS,PPI,Retina,Cpu_name,Cpu_clock_speed,HDD,SSD,Hybrid,Flash_storage,Gpu_brand,OS,predicted_price
Dell,Notebook,17.3,8,2.8,52161.12,0,1,127,0,Intel Core i5,1.6,1024,128,0,0,AMD,Windows,59551.594
HP,Notebook,15.6,4,1.9,26037.4032,0,0,100,0,Intel Core i5,2.5,1024,0,0,0,Intel,Windows,31201.035
HP,Notebook,15.6,8,2.1,46833.12,0,0,141,0,Intel Core i5,1.6,0,256,0,0,Nvidia,Windows,44685.957
Asus,Notebook,15.6,4,2.0,20725.92,0,0,141,0,Intel Core i3,2.0,1024,0,0,0,Intel,Linux/Android/Chrome OS/No OS,21515.117
Dell,Gaming,15.6,16,2.6,79866.72,0,1,141,0,Intel Core i7,2.8,1024,256,0,0,Nvidia,Windows,77801.3
Asus,Notebook,15.6,8,2.3,27864.9072,0,0,100,0,Intel Core i5,2.5,1024,0,0,0,Nvidia,Linux/Android/Chrome OS/No OS,30451.795
Acer,Notebook,15.6,4,2.2,36336.96,0,1,141,0,Intel Core i5,1.6,0,256,0,0,Intel,Windows,36526.2
Dell,2 in 1 Convertible,17.3,12,2.8,53226.72,1,0,127,0,Intel Core i5,1.6,1024,0,0,0,Nvidia,Windows,52266.203
Apple,Ultrabook,13.3,8,1.4,75604.31999999999,0,1,227,1,Intel Core i5,2.0,0,256,0,0,Intel,Mac,75074.58
Lenovo,Notebook,15.6,4,2.2,19660.32,0,0,100,0,Intel Core i3,2.0,0,128,0,0,Intel,Linux/Android/Chrome OS/No OS,20111.1
Asus,Gaming,17.3,8,3.2,69210.72,0,0,127,0,AMD Ryzen,3.0,1024,256,0,0,AMD,Windows,75929.48
Dell,Notebook,15.6,4,2.3,34045.92,0,0,141,0,Intel Core i5,2.5,0,256,0,0,AMD,Windows,37931.57
Asus,Notebook,17.3,4,2.8,24828.48,0,0,91,0,other Intel processors,1.1,1024,0,0,0,Nvidia,Windows,25487.482
Lenovo,2 in 1 Convertible,10.1,4,0.7,16996.32,1,1,224,0,other Intel processors,1.44,0,0,0,64,Intel,Linux/Android/Chrome OS/No OS,23296.133
Acer,Notebook,15.6,8,2.2,44808.48,0,1,141,0,Intel Core i7,1.8,0,256,0,0,Nvidia,Windows,47947.848
HP,Notebook,15.6,4,1.9,21231.5472,0,0,141,0,other AMD processors,2.5,0,256,0,0,AMD,Windows,23461.006
HP,Notebook,13.3,8,1.5,58767.84,0,0,166,0,Intel Core i7,1.8,0,512,0,0,Intel,Windows,59209.39
Acer,Notebook,15.6,4,2.4,20459.52,0,0,100,0,Intel Core i3,2.4,1024,0,0,0,Intel,Windows,25443.377
Dell,Notebook,15.6,8,2.1,40908.384,0,0,141,0,Intel Core i7,1.8,0,256,0,0,AMD,Windows,48393.64
HP,Notebook,15.6,4,1.9,23389.92,0,0,141,0,Intel Core i3,2.0,0,128,0,0,Intel,Windows,26263.959
Asus,Notebook,15.6,4,2.0,31232.203200000004,0,0,100,0,Intel Core i5,2.5,0,256,0,0,Intel,Windows,34932.57
MSI,Gaming,17.3,16,2.4,130482.72,0,0,127,0,Intel Core i7,2.8,2048,256,0,0,Nvidia,Windows,103392.39
Asus,Notebook,15.6,4,2.0,22111.2,0,0,141,0,Intel Core i3,2.0,0,256,0,0,Intel,Linux/Android/Chrome OS/No OS,23013.902
Dell,Notebook,17.3,16,2.8,69210.72,0,0,127,0,Intel Core i7,1.8,2048,256,0,0,AMD,Windows,76298.01
Dell,Ultrabook,14.0,8,1.7,46833.12,0,0,157,0,Intel Core i5,1.6,0,256,0,0,Intel,Windows,57773.47
Lenovo,Notebook,14.0,8,1.7,31914.72,0,1,157,0,Intel Core i3,2.7,0,256,0,0,Intel,Linux/Android/Chrome OS/No OS,35170.812
Asus,Notebook,14.0,8,1.4,50136.48,0,0,157,0,Intel Core i5,1.6,0,256,0,0,Intel,Windows,53184.543
HP,Notebook,15.6,8,1.9,36763.2,0,0,141,0,Intel Core i5,2.5,0,256,0,0,Intel,Windows,47204.844
Asus,Ultrabook,15.6,16,1.8,105654.24,0,0,141,0,Intel Core i7,2.8,0,512,0,0,Nvidia,Windows,105484.82
HP,Notebook,15.6,4,1.9,23373.4032,0,0,100,0,Intel Core i3,2.0,500,0,0,0,AMD,Windows,23633.695
HP,Notebook,14.0,4,1.4,12201.12,0,0,112,0,other Intel processors,1.6,0,32,0,0,Intel,Windows,15213.988
Lenovo,Notebook,15.6,4,1.9,29250.72,0,0,141,0,Intel Core i5,2.5,1024,0,0,0,Intel,Windows,32891.47
Asus,Gaming,17.3,12,3.0,50562.72,0,0,127,0,Intel Core i7,2.8,1024,0,0,0,Nvidia,Linux/Android/Chrome OS/No OS,54984.7
Microsoft,Ultrabook,13.5,4,1.3,58021.92,1,0,201,0,Intel Core i5,2.5,0,128,0,0,Intel,Windows,63796.324
Dell,Ultrabook,13.3,8,1.4,50882.4,0,1,166,0,Intel Core i7,1.8,0,256,0,0,AMD,Windows,53693.926
Dell,Notebook,15.6,8,2.2,46353.6,0,0,141,0,Intel Core i7,1.8,0,256,0,0,AMD,Windows,47812.414
MSI,Gaming,17.3,8,2.7,58341.6,0,0,127,0,Intel Core i5,2.5,1024,128,0,0,Nvidia,Windows,64451.7
Acer,Notebook,14.0,8,2.1,20725.92,0,0,112,0,Intel Core i3,2.0,1024,0,0,0,Intel,Windows,24623.227
Asus,Gaming,15.6,8,2.2,50562.72,0,0,141,0,Intel Core i7,2.8,1024,0,0,0,Nvidia,Windows,60530.66
Lenovo,Notebook,15.6,8,2.2,27652.32,0,0,141,0,Intel Core i5,2.5,2048,0,0,0,Intel,Linux/Android/Chrome OS/No OS,28689.871
Dell,Notebook,15.6,8,2.0,45554.4,0,0,141,0,Intel Core i7,1.8,1024,128,0,0,Intel,Windows,51223.473
Acer,Notebook,15.6,4,2.2,28238.4,0,0,141,0,Intel Core i3,2.7,1024,0,0,0,Nvidia,Windows,28591.05
HP,Notebook,17.3,8,2.5,52054.56,0,0,127,0,Intel Core i5,1.6,1024,128,0,0,Nvidia,Windows,53875.55
Dell,Ultrabook,15.6,8,1.9,58403.4048,0,1,141,0,Intel Core i5,1.6,0,256,0,0,Intel,Windows,56720.418
Apple,Ultrabook,12.0,8,0.9,80452.8,0,1,226,1,Intel Core i5,1.3,0,512,0,0,Intel,Mac,86986.69
HP,Notebook,14.0,8,1.6,45820.8,0,0,157,0,Intel Core i5,1.6,0,256,0,0,Intel,Windows,51033.207
Lenovo,Notebook,15.6,4,2.2,21258.72,0,0,141,0,other AMD processors,2.5,0,128,0,0,AMD,Windows,22272.36
Acer,Notebook,15.6,4,2.1,21045.6,0,0,100,0,other AMD processors,3.0,1024,0,0,0,AMD,Windows,21817.508
Dell,Gaming,15.6,16,2.6,71874.72,0,1,141,0,Intel Core i7,2.8,1024,128,0,0,Nvidia,Windows,74799.86
HP,Ultrabook,15.6,8,1.8,37242.72,0,1,141,0,Intel Core i7,1.8,0,256,0,0,Nvidia,Windows,53327.47
HP,Notebook,15.6,8,2.0,31914.1872,0,0,141,0,Intel Core i5,2.5,0,256,0,0,Intel,Windows,51546.164
Asus,Gaming,15.6,16,2.2,77202.72,0,1,141,0,Intel Core i7,2.8,1024,128,0,0,Nvidia,Windows,91574.984
Dell,Ultrabook,13.3,8,1.2,87858.72,0,1,166,0,Intel Core i7,1.8,0,256,0,0,Intel,Windows,69493.26
Asus,Gaming,15.6,8,2.4,37242.72,0,0,141,0,other AMD processors,3.0,1024,0,0,0,AMD,Windows,37811.734
Acer,Notebook,15.6,8,2.2,36709.92,0,0,141,0,Intel Core i7,1.8,1024,0,0,0,Nvidia,Windows,38844.055
HP,Notebook,13.3,16,1.5,63776.16,0,0,166,0,Intel Core i7,1.8,0,512,0,0,Intel,Windows,65998.625
Dell,Gaming,15.6,8,2.6,63669.6,0,0,141,0,Intel Core i5,2.5,0,256,0,0,Nvidia,Windows,52997.21
Asus,Ultrabook,14.0,8,1.2,55890.72,0,0,157,0,Intel Core i7,2.7,0,256,0,0,Intel,Windows,72578.35
Acer,2 in 1 Convertible,13.3,8,1.5,45128.16,1,1,166,0,Intel Core i5,1.6,0,256,0,0,Intel,Windows,46666.465
Dell,Notebook,15.6,8,2.2,31962.672,0,0,141,0,Intel Core i7,2.7,1024,0,0,0,AMD,Linux/Android/Chrome OS/No OS,37588.64
Dell,Notebook,15.6,4,2.2,25840.8,0,0,141,0,Intel Core i3,2.0,0,256,0,0,AMD,Linux/Android/Chrome OS/No OS,24727.803
Asus,Notebook,15.6,6,2.0,30742.56,0,0,141,0,Intel Core i3,2.4,0,256,0,0,Nvidia,Windows,34283.848
HP,Gaming,15.6,12,2.6,66546.72,0,1,141,0,Intel Core i7,2.8,1024,128,0,0,Nvidia,Windows,69361.42
HP,Notebook,15.6,8,1.9,38308.32,0,0,141,0,Intel Core i7,2.7,0,256,0,0,AMD,Windows,49497.152
HP,Notebook,15.6,4,2.1,18594.72,0,0,141,0,other AMD processors,1.5,500,0,0,0,AMD,Windows,18522.266
Dell,Notebook,15.6,8,2.2,34472.16,0,0,141,0,Intel Core i5,1.6,1024,0,0,0,AMD,Linux/Android/Chrome OS/No OS,30576.49
HP,Ultrabook,13.3,8,1.4,59620.32,0,1,166,0,Intel Core i7,2.7,0,256,0,0,Nvidia,Windows,59044.734
Microsoft,Ultrabook,13.5,8,1.3,71395.2,1,0,201,0,Intel Core i5,2.5,0,256,0,0,Intel,Windows,80719.44
HP,Notebook,14.0,6,1.6,35111.52,0,1,157,0,Intel Core i5,2.5,0,256,0,0,Nvidia,Windows,42318.71
Lenovo,Notebook,15.6,4,1.8,22105.872,0,0,141,0,Intel Core i3,2.0,1024,0,0,0,Intel,Windows,26049.73
Asus,Ultrabook,14.0,8,1.3,63563.04,0,1,157,0,Intel Core i7,2.7,0,256,0,0,Nvidia,Windows,60329.527
MSI,Gaming,15.6,16,2.2,69210.72,0,0,141,0,Intel Core i7,2.8,1024,256,0,0,Nvidia,Windows,89033.305
Lenovo,Notebook,14.0,8,1.6,78854.4,0,1,157,0,Intel Core i7,2.7,0,256,0,0,Intel,Windows,65790.49
Asus,Ultrabook,15.6,16,1.5,67239.36,0,0,141,0,Intel Core i7,1.8,1024,256,0,0,Nvidia,Windows,69346.34
Dell,Ultrabook,13.3,8,1.2,73473.12,1,0,276,0,Intel Core i7,2.4,0,256,0,0,Intel,Windows,80644.266
Lenovo,2 in 1 Convertible,13.3,8,1.4,74538.72,1,1,166,0,Intel Core i5,2.5,0,256,0,0,Intel,Windows,72809.2
HP,Notebook,14.0,4,1.6,38468.16,0,1,112,0,Intel Core i5,1.6,500,0,0,0,Intel,Windows,36315.09
Dell,Ultrabook,13.3,8,1.2,86793.12,0,1,166,0,Intel Core i5,1.6,0,256,0,0,Intel,Windows,66907.54
HP,2 in 1 Convertible,13.3,8,1.3,74538.1872,1,1,166,0,Intel Core i5,1.6,0,256,0,0,Intel,Windows,72154.805
HP,Notebook,14.0,8,1.6,57755.52,0,0,157,0,Intel Core i7,1.8,0,512,0,0,Intel,Windows,60841.508
Dell,Notebook,15.6,8,2.2,60223.98239999999,0,1,141,0,Intel Core i7,1.8,1024,256,0,0,Nvidia,Windows,58921.375
Asus,Notebook,17.3,4,2.0,30049.92,0,0,127,0,Intel Core i3,2.0,1024,0,0,0,Nvidia,Windows,34559.59
Asus,Notebook,15.6,8,1.7,59567.04,0,0,141,0,Intel Core i7,1.8,0,256,0,0,Nvidia,Windows,52586.137
Acer,Notebook,15.6,6,2.1,25521.12,1,1,141,0,Intel Core i3,2.4,1024,0,0,0,Intel,Windows,23950.375
MSI,Gaming,15.6,16,1.8,119427.12,0,0,141,0,Intel Core i7,2.8,2048,256,0,0,Nvidia,Windows,113462.09
Lenovo,Notebook,15.6,8,2.2,33513.119999999995,0,0,141,0,Intel Core i5,2.5,0,256,0,0,Nvidia,Linux/Android/Chrome OS/No OS,34548.65
HP,Notebook,17.3,16,2.5,67718.88,0,0,127,0,Intel Core i7,1.8,0,512,0,0,Nvidia,Windows,77308.99
Acer,Notebook,15.6,4,2.1,24029.28,0,0,100,0,other AMD processors,3.0,0,256,0,0,AMD,Windows,21904.443
HP,Notebook,15.6,4,1.9,13799.52,0,0,100,0,other Intel processors,1.6,500,0,0,0,Intel,Linux/Android/Chrome OS/No OS,14253.766
HP,Notebook,14.0,8,1.6,43263.36,0,0,157,0,Intel Core i5,1.6,1024,0,0,0,Intel,Windows,41483.18
Asus,Notebook,14.0,4,1.6,14811.3072,0,0,112,0,other AMD processors,1.5,0,64,0,0,AMD,Windows,15920.846
Dell,Notebook,17.3,16,2.8,74378.87999999999,0,0,127,0,Intel Core i7,1.8,2048,256,0,0,AMD,Windows,76298.01
HP,Notebook,17.3,8,2.5,49443.84,0,0,127,0,Intel Core i5,1.6,0,256,0,0,Intel,Windows,49805.74
Dell,Notebook,15.6,8,2.4,34045.3872,0,0,100,0,Intel Core i5,2.5,1024,0,0,0,AMD,Windows,36713.21
Dell,Notebook,15.6,4,2.2,23922.72,0,0,141,0,Intel Core i3,2.0,1024,0,0,0,AMD,Windows,28859.514
Acer,Ultrabook,14.0,8,1.6,47099.52,0,1,157,0,Intel Core i7,1.8,0,256,0,0,Intel,Windows,51148.93
Acer,Notebook,15.6,4,2.2,30476.16,0,0,141,0,Intel Core i3,2.7,0,256,0,0,Nvidia,Windows,29178.684
HP,Notebook,15.6,8,2.0,31861.44,0,0,100,0,Intel Core i7,2.7,1024,0,0,0,Intel,Windows,39390.117
HP,Notebook,14.0,8,1.6,52640.64,0,0,157,0,Intel Core i7,1.8,0,256,0,0,Intel,Windows,53160.91
Lenovo,Notebook,15.6,4,1.9,13445.7408,0,0,100,0,other Intel processors,1.1,1024,0,0,0,Intel,Linux/Android/Chrome OS/No OS,14972.376
Asus,Gaming,17.3,8,3.0,49976.64,0,0,127,0,Intel Core i5,2.5,1024,128,0,0,Nvidia,Windows,59360.344
Lenovo,Notebook,15.6,4,2.2,26586.72,0,0,141,0,Intel Core i5,2.5,1024,0,0,0,Nvidia,Linux/Android/Chrome OS/No OS,27148.65
HP,Notebook,13.3,4,1.3,37242.72,0,1,166,0,Intel Core i5,2.5,0,256,0,0,Intel,Windows,53259.26
Acer,Notebook,17.3,4,3.0,34898.4,0,1,127,0,Intel Core i3,2.7,1024,0,0,0,Nvidia,Windows,36919.805
Lenovo,Notebook,14.0,8,1.8,59461.5456,0,1,157,0,Intel Core i5,1.6,0,256,0,0,AMD,Windows,53821.12
Lenovo,Gaming,15.6,8,2.4,46300.32,0,1,141,0,Intel Core i7,2.8,0,256,0,0,Nvidia,Linux/Android/Chrome OS/No OS,53964.92
Toshiba,Notebook,15.6,4,2.1,32074.56,0,0,100,0,Intel Core i5,2.3,500,0,0,0,Intel,Windows,37746.27
HP,Notebook,15.6,4,1.9,19660.32,0,0,100,0,other AMD processors,2.5,0,256,0,0,AMD,Windows,20798.725
Asus,Ultrabook,14.0,8,1.2,58554.72,0,0,157,0,Intel Core i7,1.8,0,256,0,0,Intel,Windows,62375.027
HP,Ultrabook,12.5,8,1.0,107305.92,1,1,352,0,Intel Core M,1.2,0,512,0,0,Intel,Windows,111356.27
Asus,Notebook,15.6,4,2.0,18328.32,0,0,141,0,other Intel processors,1.1,1024,0,0,0,Intel,Windows,20695.482
MSI,Gaming,17.3,16,2.9,108105.12,0,0,127,0,Intel Core i7,2.8,1024,256,0,0,Nvidia,Windows,106352.01
Acer,Notebook,15.6,4,2.1,23816.16,0,0,100,0,Intel Core i3,2.0,1024,0,0,0,Intel,Windows,22442.742
Dell,Gaming,15.6,16,2.6,66560.5728,0,0,141,0,Intel Core i7,2.8,0,512,0,0,Nvidia,Windows,81151.37
Dell,Gaming,15.6,8,2.6,47898.72,0,0,141,0,Intel Core i7,2.8,0,0,1024,0,Nvidia,Windows,54877.72
Lenovo,Notebook,15.6,4,1.9,26533.44,0,0,100,0,Intel Core i5,2.5,0,128,0,0,Intel,Windows,30170.3
MSI,Gaming,17.3,16,2.8,100699.2,0,0,127,0,Intel Core i7,2.8,1024,256,0,0,Nvidia,Windows,101005.58
HP,Ultrabook,14.0,4,1.5,57648.96,0,0,157,0,Intel Core i5,2.7,0,256,0,0,Intel,Windows,62607.574
HP,Notebook,15.6,6,1.9,32980.32,0,0,141,0,Intel Core i5,1.6,0,256,0,0,AMD,Windows,35482.85
Lenovo,2 in 1 Convertible,14.0,4,1.7,33513.119999999995,1,1,157,0,Intel Core i3,2.4,0,256,0,0,Intel,Windows,36556.793
Asus,2 in 1 Convertible,13.3,8,1.1,70063.2,1,0,166,0,Intel Core i5,1.6,0,256,0,0,Intel,Windows,68907.82
Dell,2 in 1 Convertible,15.6,8,1.6,55890.72,1,0,141,0,Intel Core i7,1.8,0,256,0,0,Intel,Windows,58022.543
Toshiba,Notebook,15.6,4,2.1,23816.16,0,0,100,0,Intel Core i3,2.2,500,0,0,0,Intel,Windows,25025.012
Asus,Notebook,15.6,4,2.0,21471.84,0,0,100,0,other AMD processors,3.0,1024,0,0,0,AMD,Windows,23762.879
Acer,Notebook,17.3,4,3.0,42890.4,0,1,127,0,Intel Core i5,1.6,0,256,0,0,Nvidia,Windows,43482.707
Dell,Notebook,15.6,8,2.1,38787.84,0,0,141,0,Intel Core i5,1.6,0,256,0,0,AMD,Windows,44328.105
Lenovo,Gaming,15.6,16,2.5,57489.12,0,1,141,0,Intel Core i7,2.8,0,256,0,0,Nvidia,Windows,68017.71
Acer,Notebook,15.6,4,2.1,18541.44,0,0,100,0,other Intel processors,1.1,1024,0,0,0,Intel,Windows,18000.002
MSI,Gaming,15.6,16,2.4,95850.72,0,1,141,0,Intel Core i7,2.8,1024,256,0,0,Nvidia,Windows,85289.164
Acer,Notebook,15.6,4,2.1,19367.8128,0,0,100,0,other Intel processors,1.1,1024,0,0,0,Intel,Windows,18000.002
Dell,Gaming,15.6,8,2.6,56502.9072,0,0,141,0,Intel Core i7,2.8,1024,128,0,0,Nvidia,Windows,62801.08
Acer,Notebook,17.3,8,3.0,45501.12,0,1,127,0,Intel Core i5,1.6,0,256,0,0,Nvidia,Windows,50069.625
HP,Notebook,13.3,4,1.5,40173.12,0,1,166,0,Intel Core i5,1.6,500,0,0,0,Intel,Windows,38357.547
Huawei,Ultrabook,13.0,8,1.0,71874.72,0,1,200,0,Intel Core i5,2.5,0,256,0,0,Intel,Windows,70404.14
HP,Notebook,17.3,6,2.7,37242.72,0,1,127,0,Intel Core i5,2.5,2048,0,0,0,AMD,Windows,42985.383
Lenovo,Notebook,15.6,4,2.2,16463.52,0,0,100,0,other AMD processors,2.9,500,0,0,0,AMD,Linux/Android/Chrome OS/No OS,16601.7
Toshiba,Notebook,15.6,4,2.0,26053.92,0,0,100,0,Intel Core i3,2.4,500,0,0,0,Intel,Windows,31156.818
HP,Notebook,17.3,8,2.5,49177.44,0,0,127,0,Intel Core i5,1.6,0,256,0,0,Nvidia,Windows,50908.863
Dell,Notebook,15.6,8,2.3,24455.52,0,0,100,0,Intel Core i3,2.4,1024,0,0,0,Intel,Windows,29210.23
Acer,Notebook,15.6,4,2.1,23922.72,0,0,100,0,Intel Core i3,2.0,0,128,0,0,Intel,Windows,23784.125
MSI,Gaming,18.4,32,4.4,149130.72,0,0,120,0,Intel Core i7,2.9,1024,512,0,0,Nvidia,Windows,163063.81
Lenovo,Notebook,15.6,8,1.9,43316.64,0,0,141,0,Intel Core i5,2.5,1024,128,0,0,AMD,Windows,45264.086
HP,2 in 1 Convertible,13.3,8,1.3,79866.72,1,1,331,0,Intel Core i5,1.6,0,256,0,0,Intel,Windows,95306.5
Dell,Notebook,15.6,16,2.0,55890.72,0,0,141,0,Intel Core i7,1.8,2048,256,0,0,AMD,Linux/Android/Chrome OS/No OS,56039.453
Dell,Ultrabook,13.3,8,1.2,74538.72,0,0,166,0,Intel Core i5,1.6,0,256,0,0,Intel,Windows,70166.125
Lenovo,2 in 1 Convertible,13.9,16,1.4,98514.72,1,1,317,0,Intel Core i7,1.8,0,512,0,0,Intel,Windows,100403.125
Toshiba,Notebook,15.6,8,2.0,42251.04,0,0,100,0,Intel Core i5,2.5,0,128,0,0,Intel,Windows,44166.7
Xiaomi,Notebook,15.6,8,2.0,63882.72,0,1,141,0,Intel Core i5,1.6,0,256,0,0,Nvidia,Linux/Android/Chrome OS/No OS,53175.21
Dell,Notebook,17.3,16,2.8,82530.72,1,0,127,0,Intel Core i7,1.8,0,512,0,0,Nvidia,Windows,78027.625
Dell,Notebook,15.6,16,2.1,127712.16,1,0,282,0,Intel Core i7,2.8,0,512,0,0,Nvidia,Windows,123441.44
Lenovo,Gaming,15.6,8,2.4,41505.12,0,1,141,0,Intel Core i5,2.5,0,256,0,0,Nvidia,Linux/Android/Chrome OS/No OS,44239.29
Acer,Ultrabook,13.3,8,1.1,52693.92,0,1,166,0,Intel Core i5,1.2,0,256,0,0,Intel,Windows,56000.027
Dell,Notebook,17.3,8,2.8,57808.8,0,0,127,0,Intel Core i7,1.8,1024,128,0,0,AMD,Windows,60357.383
Lenovo,2 in 1 Convertible,14.0,16,1.4,150462.72,1,0,210,0,Intel Core i7,2.7,0,1024,0,0,Intel,Windows,149083.38
Vero,Notebook,14.0,4,1.3,13852.8,0,1,157,0,other Intel processors,1.1,0,0,0,32,Intel,Windows,13393.379
Xiaomi,Ultrabook,13.3,8,1.3,53274.67199999999,0,1,166,0,Intel Core i5,2.5,0,256,0,0,Nvidia,Linux/Android/Chrome OS/No OS,50602.32
Lenovo,Notebook,17.3,8,2.8,37189.44,0,0,106,0,Intel Core i5,1.6,0,256,0,0,Nvidia,Linux/Android/Chrome OS/No OS,38162.336
Dell,2 in 1 Convertible,13.3,8,1.6,44701.92,1,1,166,0,Intel Core i7,1.8,1024,0,0,0,Intel,Windows,41971.008
HP,Notebook,17.3,8,2.5,48697.92,0,1,127,0,Intel Core i5,1.6,1024,0,0,0,Nvidia,Windows,47879.445
Razer,Gaming,17.3,32,3.5,324954.72,1,0,255,0,Intel Core i7,2.9,0,1024,0,0,Nvidia,Windows,332572.12
HP,Notebook,13.3,8,1.5,51095.52,0,0,166,0,Intel Core i5,1.6,0,512,0,0,Intel,Windows,57613.195
HP,Gaming,17.3,16,3.4,73473.12,0,1,127,0,Intel Core i7,2.8,1024,256,0,0,Nvidia,Windows,84145.96
HP,Notebook,17.3,8,2.5,55677.6,0,0,127,0,Intel Core i7,1.8,0,256,0,0,Nvidia,Windows,58170.812
